2023-05-06-06:50:02 -194.13 -99.97
2023-05-06-07:00:02 -194.13 -99.969
2023-05-06-07:10:02 -194.12 -99.969
2023-05-06-07:20:02 -194.12 -99.969
2023-05-06-07:30:02 -194.11 -99.971
2023-05-06-07:33:02 -194.11 -99.97
2023-05-06-07:34:58 -194.11 -99.969
2023-05-06-07:35:35 -194.11 -99.969
2023-05-06-07:40:02 -194.11 -99.97
2023-05-06-07:49:42 -194.11 -99.969
2023-05-06-07:50:02 -194.1 -99.969
2023-05-06-07:54:01 -194.11 -99.969
2023-05-06-07:55:17 -194.11 -99.969
2023-05-06-07:56:19 -194.11 -99.97
2023-05-06-07:57:25 -194.11 -99.971
2023-05-06-08:00:02 -194.11 -99.972
2023-05-06-08:10:02 -194.1 -99.97
2023-05-06-08:20:02 -194.1 -99.969
2023-05-06-08:30:02 -194.09 -99.968
2023-05-06-08:40:02 -194.09 -99.969
2023-05-06-08:50:02 -194.1 -99.969
2023-05-06-09:00:02 -194.1 -99.971
2023-05-06-09:10:02 -194.1 -99.97
2023-05-06-09:20:02 -194.1 -99.969
2023-05-06-09:30:02 -194.1 -99.97
2023-05-06-09:40:02 -194.1 -99.97
2023-05-06-09:50:02 -194.11 -99.97
2023-05-06-10:00:02 -194.1 -99.969
2023-05-06-10:10:02 -194.1 -99.969
2023-05-06-10:20:02 -194.09 -99.969
2023-05-06-10:30:02 -194.09 -99.97
2023-05-06-10:40:02 -194.08 -99.97
2023-05-06-10:50:02 -194.07 -99.968
2023-05-06-11:00:02 -194.07 -99.969
2023-05-06-11:10:02 -194.06 -99.969
2023-05-06-11:20:02 -193.99 -99.969
2023-05-06-11:30:02 -194.26 -99.966
2023-05-06-11:40:02 -194.24 -99.976
2023-05-06-11:50:02 -194.24 -99.967
2023-05-06-12:00:02 -194.24 -99.973
2023-05-06-12:10:02 -194.24 -99.968
2023-05-06-12:20:02 -194.24 -99.971
2023-05-06-12:30:02 -194.24 -99.968
2023-05-06-12:40:02 -194.25 -99.972
2023-05-06-12:50:02 -194.25 -99.969
2023-05-06-13:00:02 -194.25 -99.969
2023-05-06-13:10:02 -194.26 -99.97
2023-05-06-13:20:02 -194.26 -99.97
2023-05-06-13:30:02 -194.25 -99.97
2023-05-06-13:40:02 -194.25 -99.971
2023-05-06-13:50:02 -194.25 -99.968
2023-05-06-14:00:02 -194.25 -99.969
2023-05-06-14:06:29 -194.24 -99.97
2023-05-06-14:10:02 -194.24 -99.969
2023-05-06-14:20:02 -194.24 -99.968
2023-05-06-14:23:04 -194.24 -99.968
2023-05-06-14:24:08 -194.24 -99.969
2023-05-06-14:26:38 -194.24 -99.97
2023-05-06-14:27:01 -194.24 -99.969
2023-05-06-14:30:02 -194.24 -99.97
2023-05-06-14:32:15 -194.24 -99.97
2023-05-06-14:34:03 -194.24 -99.969
2023-05-06-14:40:02 -194.24 -99.97
2023-05-06-14:49:56 -194.24 -99.969
2023-05-06-14:50:02 -194.24 -99.971
2023-05-06-15:00:02 -194.24 -99.968
2023-05-06-15:10:02 -194.24 -99.97
2023-05-06-15:20:02 -194.24 -99.968
2023-05-06-15:30:02 -194.24 -99.97
2023-05-06-15:40:02 -194.23 -99.97
2023-05-06-15:50:02 -194.23 -99.97
2023-05-06-16:00:02 -194.23 -99.968
2023-05-06-16:10:02 -194.23 -99.97
2023-05-06-16:20:02 -194.23 -99.968
2023-05-06-16:30:02 -194.23 -99.97
2023-05-06-16:40:02 -194.23 -99.968
2023-05-06-16:50:02 -194.22 -99.97
2023-05-06-17:00:02 -194.22 -99.967
2023-05-06-17:10:02 -194.22 -99.97
2023-05-06-17:13:43 -194.22 -99.972
2023-05-06-17:17:23 -194.22 -99.969
2023-05-06-17:18:32 -194.22 -99.969
2023-05-06-17:19:25 -194.22 -99.969
2023-05-06-17:20:02 -194.22 -99.97
2023-05-06-17:23:53 -194.22 -99.97
2023-05-06-17:27:01 -194.22 -99.97
2023-05-06-17:28:38 -194.22 -99.97
2023-05-06-17:30:02 -194.22 -99.97
2023-05-06-17:40:02 -194.21 -99.968
2023-05-06-17:50:02 -194.22 -99.973
2023-05-06-18:00:02 -194.22 -99.967
2023-05-06-18:10:02 -194.22 -99.97
2023-05-06-18:20:02 -194.22 -99.97
2023-05-06-18:30:02 -194.22 -99.97
2023-05-06-18:40:02 -194.21 -99.969
2023-05-06-18:50:02 -194.21 -99.969
2023-05-06-18:56:58 -194.21 -99.969
2023-05-06-19:00:02 -194.21 -99.969
2023-05-06-19:03:04 -194.21 -99.969
2023-05-06-19:10:02 -194.21 -99.97
2023-05-06-19:20:02 -194.21 -99.969
2023-05-06-19:28:00 -194.21 -99.969
2023-05-06-19:30:02 -194.21 -99.969
2023-05-06-19:40:02 -194.2 -99.969
2023-05-06-19:50:02 -194.2 -99.97
2023-05-06-20:00:02 -194.2 -99.968
2023-05-06-20:10:02 -194.19 -99.969
2023-05-06-20:20:02 -194.19 -99.969
2023-05-06-20:30:02 -194.19 -99.97
2023-05-06-20:40:02 -194.19 -99.97
2023-05-06-20:50:02 -194.19 -99.969
2023-05-06-21:00:02 -194.19 -99.97
2023-05-06-21:10:02 -194.18 -99.97
2023-05-06-21:20:02 -194.18 -99.969
2023-05-06-21:30:02 -194.18 -99.969
2023-05-06-21:40:02 -194.18 -99.97
2023-05-06-21:50:02 -194.17 -99.969
2023-05-06-22:00:02 -194.17 -99.972
2023-05-06-22:10:02 -194.17 -99.97
2023-05-06-22:20:02 -194.17 -99.97
2023-05-06-22:30:02 -194.16 -99.968
2023-05-06-22:40:02 -194.17 -99.967
2023-05-06-22:50:02 -194.16 -99.969
2023-05-06-23:00:02 -194.16 -99.969
2023-05-06-23:10:02 -194.15 -99.97
2023-05-06-23:20:02 -194.15 -99.97
2023-05-06-23:30:02 -194.15 -99.969
2023-05-06-23:40:02 -194.14 -99.969
